location_id,datetime,total_duration_above_threshold,time_of_day,week,date_utc,microclimate2
BEEBOX,2024-07-04T16:30:00Z,1.7999999999999998,09:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T17:00:00Z,3.3,10:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T17:30:00Z,0,10:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T18:00:00Z,1.05,11:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T18:30:00Z,2.55,11:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T19:00:00Z,3.3,12:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T19:30:00Z,13.05,12:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T20:00:00Z,1.05,13:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T20:30:00Z,2.55,13:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T21:00:00Z,1.35,14:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T21:30:00Z,6.45,14:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T22:00:00Z,9.6,15:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T22:30:00Z,8.1,15:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T23:00:00Z,22.5,16:00:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-04T23:30:00Z,7.949999999999999,16:30:00,2024-06-30T07:00:00Z,2024-07-04,BEEBOX
BEEBOX,2024-07-05T00:00:00Z,7.05,17:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T00:30:00Z,6.75,17:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T01:00:00Z,9.75,18:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T01:30:00Z,2.55,18:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T02:00:00Z,4.8,19:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T02:30:00Z,1.5,19:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T03:00:00Z,4.35,20:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T03:30:00Z,6,20:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T04:00:00Z,5.3999999999999995,21:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T04:30:00Z,2.55,21:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T05:00:00Z,0,22:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T05:30:00Z,0,22:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T06:00:00Z,0,23:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T06:30:00Z,0,23:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T07:00:00Z,0,00:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T07:30:00Z,0,00:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T08:00:00Z,0,01:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T08:30:00Z,0,01:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T09:00:00Z,0,02:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T09:30:00Z,0,02:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T10:00:00Z,0,03:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T10:30:00Z,0,03:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T11:00:00Z,0,04:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T11:30:00Z,0,04:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T12:00:00Z,0,05:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T12:30:00Z,0,05:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T13:00:00Z,0,06:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T13:30:00Z,0,06:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T14:00:00Z,0,07:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T14:30:00Z,0,07:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T15:00:00Z,0,08:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T15:30:00Z,0,08:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T16:00:00Z,0,09:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T16:30:00Z,0,09:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T17:00:00Z,1.5,10:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T17:30:00Z,0,10:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T18:00:00Z,0,11:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T18:30:00Z,4.2,11:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T19:00:00Z,0,12:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T19:30:00Z,0,12:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T20:00:00Z,4.2,13:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T20:30:00Z,9.6,13:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T21:00:00Z,2.25,14:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T21:30:00Z,5.85,14:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T22:00:00Z,18.15,15:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T22:30:00Z,7.949999999999999,15:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T23:00:00Z,9,16:00:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-05T23:30:00Z,21.6,16:30:00,2024-06-30T07:00:00Z,2024-07-05,BEEBOX
BEEBOX,2024-07-06T00:00:00Z,11.4,17:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T00:30:00Z,8.549999999999999,17:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T01:00:00Z,2.1,18:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T01:30:00Z,4.8,18:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T02:00:00Z,3.9,19:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T02:30:00Z,1.65,19:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T03:00:00Z,8.4,20:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T03:30:00Z,6.6,20:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T04:00:00Z,0.6,21:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T04:30:00Z,4.05,21:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T05:00:00Z,0,22:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T05:30:00Z,0,22:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T06:00:00Z,0,23:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T06:30:00Z,0,23:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T07:00:00Z,0,00:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T07:30:00Z,0,00:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T08:00:00Z,0,01:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T08:30:00Z,0,01:30:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
BEEBOX,2024-07-06T09:00:00Z,0,02:00:00,2024-06-30T07:00:00Z,2024-07-06,BEEBOX
